"X","trialNum","rt","subject","condition","Focal1","Focal2","Focal3","ParticipantNum","InducerL","InducerR","ConcurrentL","ConcurrentR","choice","DataSet"
68,69,5038,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-L","Speed-SP1-H","Pitch-Piano-L","Pitch-Piano-H",1,"Pilot"
69,70,4068,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-L","Speed-SP1-H","Noise-Hum-L","Noise-Hum-H",1,"Pilot"
70,71,4830,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-H","Speed-SP1-L","Shape-BK2-L","Shape-BK2-H",0,"Pilot"
71,72,3603,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Affect-EB-L","Affect-EB-H","Shape-BK4-H","Shape-BK4-L",0,"Pilot"
72,73,7115,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Pulse-L","Noise-Pulse-H","Speed-SP1-L","Speed-SP1-H",1,"Pilot"
73,74,4761,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Affect-EB-L","Affect-EB-H","Shape-BK2-H","Shape-BK2-L",0,"Pilot"
74,75,4132,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Hum-H","Noise-Hum-L","Speed-SP1-H","Speed-SP1-L",1,"Pilot"
75,76,3962,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Hum-L","Noise-Hum-H","Size-Triangles-H","Size-Triangles-L",0,"Pilot"
76,77,5122,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-H","Speed-SP1-L","Amp-Pulse-H","Amp-Pulse-L",0,"Pilot"
77,78,4801,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-L","Speed-SP1-H","Size-Triangles-L","Size-Triangles-H",0,"Pilot"
78,79,3190,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Size-Triangles-L","Size-Triangles-H","Noise-Tone-H","Noise-Tone-L",0,"Pilot"
